iter	Passed	Remaining
0	0	89
1	1	78
2	2	75
3	2	69
4	3	70
5	4	70
6	5	72
7	6	70
8	6	69
9	7	67
10	8	65
11	8	64
12	9	62
13	10	61
14	10	60
15	11	59
16	11	58
17	12	57
18	13	57
19	14	56
20	14	55
21	15	54
22	16	53
23	18	57
24	19	59
25	20	57
26	20	56
27	21	55
28	22	54
29	22	53
30	23	52
31	24	51
32	24	50
33	25	49
34	26	48
35	26	47
36	27	46
37	28	45
38	29	46
39	30	45
40	31	44
41	31	43
42	32	42
43	32	41
44	33	40
45	34	39
46	34	39
47	35	38
48	35	37
49	36	36
50	37	35
51	37	34
52	38	34
53	39	33
54	39	32
55	40	31
56	43	32
57	44	31
58	45	31
59	46	30
60	47	30
61	48	29
62	49	28
63	49	28
64	50	27
65	52	27
66	53	26
67	54	25
68	54	24
69	55	23
70	56	22
71	56	22
72	57	21
73	58	20
74	58	19
75	59	18
76	60	17
77	60	17
78	61	16
79	62	15
80	62	14
81	63	14
82	64	13
83	65	12
84	65	11
85	66	10
86	67	10
87	67	9
88	68	8
89	69	7
90	69	6
91	70	6
92	70	5
93	71	4
94	72	3
95	72	3
96	73	2
97	74	1
98	77	0
99	78	0
